CHALLAN_MONTH,EMPLOYEE_ID,PF_UAN_NUMBER,EMPLOYER_CONTRIBUTION,EMPLOYEE_CONTRIBUTION,TOTAL_REMITTANCE,TRRN_NUMBER,PAYMENT_DATE
2025-03,EMP-001,10005000-001,1800,1800,3600,TRRN30320328,2025-04-12
2025-03,EMP-002,10005000-002,1800,1800,3600,TRRN30382357,2025-04-12
2025-03,EMP-003,10005000-003,1800,1800,3600,TRRN30348427,2025-04-12
2025-03,EMP-004,10005000-004,1800,1800,3600,TRRN30392397,2025-04-12
2025-03,EMP-005,10005000-005,1800,1800,3600,TRRN30391070,2025-04-12
2025-03,EMP-006,10005000-006,1800,1800,3600,TRRN30357400,2025-04-12
2025-03,EMP-007,10005000-007,1800,1800,3600,TRRN30385674,2025-04-12
2025-03,EMP-008,10005000-008,1800,1800,3600,TRRN30335203,2025-04-12
2025-03,EMP-009,10005000-009,1800,1800,3600,TRRN30319116,2025-04-12
2025-03,EMP-010,10005000-010,1800,1800,3600,TRRN30316006,2025-04-12
2025-03,EMP-011,10005000-011,1800,1800,3600,TRRN30396673,2025-04-12
2025-03,EMP-012,10005000-012,1800,1800,3600,TRRN30339871,2025-04-12
2025-03,EMP-013,10005000-013,1800,1800,3600,TRRN30347930,2025-04-12
2025-03,EMP-014,10005000-014,1800,1800,3600,TRRN30320458,2025-04-12
2025-03,EMP-015,10005000-015,1800,1800,3600,TRRN30340512,2025-04-12
2025-03,EMP-016,10005000-016,1800,1800,3600,TRRN30323238,2025-04-12
2025-03,EMP-017,10005000-017,1800,1800,3600,TRRN30359823,2025-04-12
2025-03,EMP-018,10005000-018,1800,1800,3600,TRRN30346434,2025-04-12
2025-03,EMP-019,10005000-019,1800,1800,3600,TRRN30369429,2025-04-12
2025-03,EMP-020,10005000-020,1800,1800,3600,TRRN30393320,2025-04-12
2025-03,EMP-021,10005000-021,1800,1800,3600,TRRN30357819,2025-04-12
2025-03,EMP-022,10005000-022,1800,1800,3600,TRRN30331319,2025-04-12
2025-03,EMP-023,10005000-023,1800,1800,3600,TRRN30358520,2025-04-12
2025-03,EMP-024,10005000-024,1800,1800,3600,TRRN30356566,2025-04-12
2025-03,EMP-025,10005000-025,1800,1800,3600,TRRN30337460,2025-04-12
2025-03,EMP-026,10005000-026,1800,1800,3600,TRRN30397841,2025-04-12
2025-03,EMP-027,10005000-027,1800,1800,3600,TRRN30344993,2025-04-12
2025-03,EMP-028,10005000-028,1800,1800,3600,TRRN30399593,2025-04-12
2025-03,EMP-029,10005000-029,1800,1800,3600,TRRN30394939,2025-04-12
2025-03,EMP-030,10005000-030,1800,1800,3600,TRRN30319358,2025-04-12
2025-03,EMP-031,10005000-031,1800,1800,3600,TRRN30389840,2025-04-12
2025-03,EMP-032,10005000-032,1800,1800,3600,TRRN30393227,2025-04-12
2025-03,EMP-033,10005000-033,1800,1800,3600,TRRN30332431,2025-04-12
2025-03,EMP-034,10005000-034,1800,1800,3600,TRRN30380010,2025-04-12
2025-03,EMP-035,10005000-035,1800,1800,3600,TRRN30342087,2025-04-12
2025-03,EMP-036,10005000-036,1800,1800,3600,TRRN30331417,2025-04-12
2025-03,EMP-037,10005000-037,1800,1800,3600,TRRN30370589,2025-04-12
2025-03,EMP-038,10005000-038,1800,1800,3600,TRRN30359735,2025-04-12
2025-03,EMP-039,10005000-039,1800,1800,3600,TRRN30345382,2025-04-12
2025-03,EMP-040,10005000-040,1800,1800,3600,TRRN30393886,2025-04-12
2025-03,EMP-041,10005000-041,1800,1800,3600,TRRN30383000,2025-04-12
2025-03,EMP-043,10005000-043,1800,1800,3600,TRRN30338785,2025-04-12
2025-03,EMP-044,10005000-044,1800,1800,3600,TRRN30399733,2025-04-12
2025-03,EMP-045,10005000-045,1800,1800,3600,TRRN30352504,2025-04-12
2025-03,EMP-046,10005000-046,1800,1800,3600,TRRN30317331,2025-04-12
2025-03,EMP-047,10005000-047,1800,1800,3600,TRRN30340021,2025-04-12
2025-03,EMP-048,10005000-048,1800,1800,3600,TRRN30314207,2025-04-12
2025-03,EMP-049,10005000-049,1800,1800,3600,TRRN30351347,2025-04-12
2025-03,EMP-050,10005000-050,1800,1800,3600,TRRN30362581,2025-04-12
